"trainingId","trainingName","description","domainName","domainId","duration","startDate"
65,"Enhanced executive migration","Tergum pauper comitatus virga volva expedita ocer demitto desidero.","DataEngineering",5,16,"2025-08-31"
66,"Phased optimizing service-desk","Fugiat quisquam caute adamo vesper suggero.","DevOps",2,18,"2024-11-18"
67,"Expanded optimal database","Succurro carbo viduo adeptio decipio creptio studio confero vigor bos.","DataScience",2,9,"2025-05-23"
68,"Synchronised client-server challenge","Aliqua dolore tardus exercitationem sponte angulus celo creo nisi vilis.","FullStack",2,5,"2024-12-15"
69,"Distributed attitude-oriented structure","Temptatio utilis tego terra concedo.","FullStack",3,18,"2024-11-08"
70,"Cross-group disintermediate orchestration","Comprehendo dolorum succedo conforto combibo sol repellat allatus confero carus.","DataEngineering",5,19,"2024-10-09"
71,"Horizontal attitude-oriented data-warehouse","Addo aliquid adulescens aequitas denuo cultellus.","DevOps",5,2,"2025-02-13"
72,"Sharable object-oriented monitoring","Urbanus uberrime una laudantium vix.","DataScience",1,1,"2025-04-30"
73,"Future-proofed discrete budgetary management","Attero coaegresco urbs terga aperte.","FullStack",3,9,"2024-11-17"
74,"Persevering leading edge Graphical User Interface","Ter suscipio ullus spectaculum decretum odit vociferor tibi aeternus.","SoftSkills",4,9,"2025-01-18"
75,"Versatile 6th generation protocol","Acerbitas ciminatio dedico sponte aureus aequitas studio cattus.","DataScience",5,10,"2025-06-06"
76,"Focused systematic help-desk","Enim strues tendo strues blanditiis.","DataEngineering",1,9,"2025-01-08"
77,"Assimilated eco-centric structure","Aedificium deprecator ago alius valetudo defessus coruscus.","DevOps",1,17,"2025-01-14"
78,"Total local knowledge user","Vox clementia cunabula.","SoftSkills",2,15,"2025-03-03"
79,"Universal bottom-line matrix","Deficio desidero ulterius varietas absorbeo cibus patior convoco impedit.","DataEngineering",2,14,"2025-01-28"
80,"Streamlined intermediate interface","Terebro civitas verbera numquam.","DevOps",4,16,"2025-04-07"
81,"Proactive heuristic middleware","Uterque uxor audacia terror confugo atque.","DevOps",5,4,"2025-01-07"
82,"Cross-platform methodical hierarchy","Aegrotatio valetudo incidunt stultus vinco adhaero verumtamen thymum.","DataScience",2,10,"2024-12-12"
83,"Automated responsive attitude","Commodi adipisci delinquo varius uter voluptatum apto sollers voveo.","DevOps",2,10,"2025-08-26"
84,"Quality-focused radical customer loyalty","Harum usus odio trepide titulus adsum amicitia summa thymum.","FullStack",1,2,"2025-06-22"
85,"Pre-emptive leading edge analyzer","Subito theologus pariatur aeternus.","DevOps",5,13,"2025-04-29"
86,"Sharable zero administration alliance","Agnitio acquiro voluptatibus veritas pauci accendo.","FullStack",5,3,"2025-02-16"
87,"Networked leading edge local area network","Adinventitias adeptio aveho pecto omnis aliqua.","DataScience",2,14,"2024-12-14"
88,"Sharable uniform collaboration","Caelum videlicet advoco.","DevOps",2,13,"2025-08-02"
89,"Polarised coherent moratorium","Cogo velociter vivo.","DevOps",1,9,"2025-10-05"
90,"User-friendly exuding instruction set","Tondeo ustulo aperiam uredo pauci adsuesco sonitus.","SoftSkills",3,17,"2025-01-25"
91,"Fundamental even-keeled hub","Bonus conicio solium ipsam adsuesco natus curia.","SoftSkills",3,13,"2025-09-03"
92,"Cloned asynchronous internet solution","Aut cursim sortitus absum denego surculus.","SoftSkills",4,7,"2025-08-12"
93,"Operative system-worthy strategy","Strenuus admoveo timidus quo subnecto aliqua.","DataScience",1,7,"2025-08-15"
94,"Implemented fresh-thinking throughput","Officia aveho decretum crapula.","FullStack",3,2,"2025-01-17"
95,"Reactive web-enabled toolset","Assentator iusto cuppedia.","DataScience",5,2,"2025-08-21"
96,"Profit-focused full-range productivity","Angelus sollers comitatus sponte brevis deinde adhuc.","FullStack",4,9,"2025-03-27"
97,"Managed radical product","Natus vigilo decens textus claustrum tenus ait adsum caecus.","SoftSkills",5,3,"2025-08-16"
98,"Automated multi-tasking complexity","Doloribus solium quaerat communis varius voluptatibus vestigium ab demulceo.","DataEngineering",2,4,"2025-08-05"
99,"Business-focused mission-critical matrices","Deprimo blandior tunc.","DevOps",4,14,"2024-12-07"
100,"Phased zero tolerance access","Absque ver conspergo barba.","DataEngineering",2,2,"2025-06-25"
