"responseId","userId","trainingId","score","responseDate"
399,143,82,78,"2024-10-06"
400,33,40,26,"2024-10-06"
401,232,51,47,"2024-10-07"
402,42,83,11,"2024-10-07"
403,139,45,70,"2024-10-07"
404,19,97,100,"2024-10-06"
405,147,72,76,"2024-10-06"
406,188,97,91,"2024-10-06"
407,206,95,22,"2024-10-06"
408,183,19,29,"2024-10-06"
409,245,89,47,"2024-10-07"
410,112,52,87,"2024-10-06"
411,247,78,67,"2024-10-06"
412,190,67,82,"2024-10-06"
413,275,27,67,"2024-10-07"
414,273,5,98,"2024-10-06"
415,198,17,25,"2024-10-07"
416,143,34,5,"2024-10-06"
417,181,84,45,"2024-10-07"
418,294,97,41,"2024-10-06"
419,236,28,99,"2024-10-07"
420,234,5,62,"2024-10-07"
421,269,52,65,"2024-10-06"
422,19,74,2,"2024-10-06"
423,80,100,28,"2024-10-06"
424,98,26,12,"2024-10-06"
425,93,33,31,"2024-10-07"
426,181,91,18,"2024-10-07"
427,121,61,94,"2024-10-06"
428,205,96,100,"2024-10-06"
429,201,75,62,"2024-10-06"
430,66,95,38,"2024-10-06"
431,166,13,75,"2024-10-06"
432,167,78,94,"2024-10-06"
433,61,73,65,"2024-10-07"
434,233,86,58,"2024-10-07"
435,124,100,6,"2024-10-07"
436,217,29,96,"2024-10-06"
437,76,40,78,"2024-10-07"
438,249,70,61,"2024-10-07"
439,258,57,57,"2024-10-06"
440,168,97,96,"2024-10-07"
441,219,2,30,"2024-10-07"
442,252,90,40,"2024-10-07"
443,133,86,96,"2024-10-07"
444,182,10,8,"2024-10-06"
445,29,20,100,"2024-10-06"
446,279,5,72,"2024-10-07"
447,163,41,7,"2024-10-07"
448,56,53,45,"2024-10-07"
449,43,29,78,"2024-10-06"
450,168,6,4,"2024-10-06"
451,188,79,81,"2024-10-07"
452,12,66,92,"2024-10-07"
453,168,34,97,"2024-10-07"
454,142,17,80,"2024-10-07"
455,223,37,57,"2024-10-06"
456,207,75,6,"2024-10-06"
457,170,87,27,"2024-10-07"
458,179,67,37,"2024-10-07"
459,219,49,99,"2024-10-06"
460,2,19,78,"2024-10-06"
461,295,51,86,"2024-10-06"
462,205,2,54,"2024-10-06"
463,23,93,33,"2024-10-06"
464,278,12,7,"2024-10-07"
465,252,30,72,"2024-10-07"
466,295,48,28,"2024-10-07"
467,172,31,72,"2024-10-06"
468,235,44,93,"2024-10-06"
469,270,50,22,"2024-10-06"
470,182,75,13,"2024-10-07"
471,129,47,53,"2024-10-07"
472,97,61,83,"2024-10-06"
473,205,15,10,"2024-10-07"
474,223,25,39,"2024-10-07"
475,13,82,59,"2024-10-07"
476,1,83,43,"2024-10-07"
477,291,8,25,"2024-10-07"
478,194,86,53,"2024-10-07"
479,73,26,84,"2024-10-06"
480,179,27,51,"2024-10-07"
481,142,15,49,"2024-10-07"
482,296,25,32,"2024-10-06"
483,266,5,16,"2024-10-07"
484,87,34,64,"2024-10-07"
485,296,63,68,"2024-10-07"
486,143,13,88,"2024-10-07"
487,246,63,77,"2024-10-06"
488,237,11,39,"2024-10-06"
489,147,40,90,"2024-10-07"
490,108,12,66,"2024-10-06"
491,93,2,52,"2024-10-07"
492,16,61,3,"2024-10-07"
493,77,20,2,"2024-10-06"
494,261,16,82,"2024-10-07"
495,136,45,37,"2024-10-07"
496,67,92,48,"2024-10-06"
497,140,6,76,"2024-10-07"
498,177,36,22,"2024-10-07"
499,136,3,67,"2024-10-07"
500,183,10,53,"2024-10-06"
501,285,52,76,"2024-10-06"
502,187,7,77,"2024-10-06"
503,97,82,77,"2024-10-07"
504,248,28,33,"2024-10-07"
505,216,43,99,"2024-10-07"
506,297,50,88,"2024-10-07"
507,261,74,59,"2024-10-06"
508,288,56,49,"2024-10-06"
509,158,98,56,"2024-10-07"
510,23,83,62,"2024-10-07"
511,121,14,60,"2024-10-07"
512,165,37,2,"2024-10-06"
513,178,1,74,"2024-10-06"
514,271,11,29,"2024-10-07"
515,64,76,93,"2024-10-06"
516,260,35,84,"2024-10-06"
517,214,65,48,"2024-10-07"
518,289,80,80,"2024-10-07"
519,5,36,4,"2024-10-06"
520,151,35,53,"2024-10-06"
521,5,53,89,"2024-10-06"
522,122,22,64,"2024-10-06"
523,224,69,44,"2024-10-07"
524,62,6,86,"2024-10-06"
525,62,25,76,"2024-10-07"
526,126,21,62,"2024-10-06"
527,92,59,58,"2024-10-07"
528,12,14,34,"2024-10-07"
529,151,34,86,"2024-10-06"
530,5,63,33,"2024-10-06"
531,139,57,48,"2024-10-07"
532,82,20,52,"2024-10-07"
533,115,88,20,"2024-10-06"
534,289,75,64,"2024-10-06"
535,82,10,25,"2024-10-06"
536,176,58,69,"2024-10-07"
537,250,36,68,"2024-10-06"
538,90,9,59,"2024-10-07"
539,59,20,8,"2024-10-06"
540,217,47,14,"2024-10-07"
541,94,96,26,"2024-10-06"
542,31,15,64,"2024-10-06"
543,245,55,45,"2024-10-06"
544,287,65,32,"2024-10-07"
545,293,86,20,"2024-10-07"
546,109,54,44,"2024-10-07"
547,262,99,90,"2024-10-07"
548,169,8,96,"2024-10-06"
549,130,70,21,"2024-10-06"
550,267,91,92,"2024-10-06"
551,142,51,69,"2024-10-07"
552,204,88,3,"2024-10-07"
553,119,24,26,"2024-10-06"
554,112,33,95,"2024-10-07"
555,95,76,62,"2024-10-06"
556,151,60,58,"2024-10-06"
557,229,4,85,"2024-10-06"
558,161,20,65,"2024-10-06"
559,114,93,63,"2024-10-06"
560,1,11,1,"2024-10-06"
561,237,52,15,"2024-10-07"
562,284,59,68,"2024-10-07"
563,25,6,99,"2024-10-06"
564,147,28,20,"2024-10-07"
565,251,67,32,"2024-10-06"
566,218,1,95,"2024-10-06"
567,55,68,23,"2024-10-06"
568,199,44,53,"2024-10-07"
569,103,78,79,"2024-10-06"
570,84,22,10,"2024-10-07"
571,282,15,45,"2024-10-07"
572,151,31,45,"2024-10-06"
573,146,54,5,"2024-10-06"
574,151,19,42,"2024-10-06"
575,49,2,65,"2024-10-06"
576,260,99,2,"2024-10-06"
577,249,65,51,"2024-10-07"
578,54,32,28,"2024-10-06"
579,182,78,13,"2024-10-07"
580,115,48,49,"2024-10-06"
581,270,38,37,"2024-10-06"
582,179,35,10,"2024-10-06"
583,219,80,19,"2024-10-06"
584,219,84,83,"2024-10-07"
585,31,4,85,"2024-10-07"
586,69,55,48,"2024-10-06"
587,42,56,86,"2024-10-07"
588,45,95,2,"2024-10-07"
589,272,71,90,"2024-10-06"
590,283,75,98,"2024-10-07"
591,236,98,44,"2024-10-07"
592,17,57,8,"2024-10-07"
593,168,29,17,"2024-10-06"
594,145,64,28,"2024-10-07"
595,9,73,76,"2024-10-06"
596,123,40,4,"2024-10-07"
597,169,14,67,"2024-10-06"
598,70,98,72,"2024-10-06"
599,154,49,44,"2024-10-06"
600,136,85,1,"2024-10-07"
601,167,29,41,"2024-10-06"
602,99,26,32,"2024-10-06"
603,130,59,14,"2024-10-06"
604,176,5,71,"2024-10-07"
605,253,50,64,"2024-10-06"
606,35,34,39,"2024-10-07"
607,228,55,84,"2024-10-07"
608,192,52,37,"2024-10-06"
609,123,9,51,"2024-10-06"
610,108,100,15,"2024-10-07"
611,21,12,46,"2024-10-06"
612,276,52,43,"2024-10-07"
613,202,87,82,"2024-10-06"
614,250,6,49,"2024-10-07"
615,235,44,57,"2024-10-06"
616,287,4,27,"2024-10-07"
617,298,49,50,"2024-10-06"
618,76,30,13,"2024-10-07"
619,55,100,2,"2024-10-07"
620,92,36,87,"2024-10-06"
621,84,69,90,"2024-10-06"
622,235,31,85,"2024-10-07"
623,99,26,57,"2024-10-07"
624,33,100,78,"2024-10-07"
625,254,24,56,"2024-10-07"
626,257,23,20,"2024-10-07"
627,192,45,36,"2024-10-06"
628,126,54,67,"2024-10-06"
629,48,12,18,"2024-10-07"
630,291,40,48,"2024-10-07"
631,236,99,80,"2024-10-06"
632,12,3,86,"2024-10-07"
633,70,24,42,"2024-10-07"
634,168,25,59,"2024-10-06"
635,157,71,17,"2024-10-06"
636,275,14,34,"2024-10-06"
637,208,21,95,"2024-10-07"
638,168,96,78,"2024-10-06"
639,19,61,10,"2024-10-06"
640,277,45,76,"2024-10-07"
641,40,11,51,"2024-10-07"
642,203,98,86,"2024-10-06"
643,121,67,38,"2024-10-06"
644,188,56,9,"2024-10-07"
645,15,39,53,"2024-10-06"
646,138,6,79,"2024-10-07"
647,202,88,15,"2024-10-06"
648,175,16,74,"2024-10-06"
649,246,56,89,"2024-10-07"
650,187,46,39,"2024-10-06"
651,118,35,48,"2024-10-06"
652,5,26,77,"2024-10-06"
653,200,99,85,"2024-10-06"
654,204,94,18,"2024-10-06"
655,190,11,43,"2024-10-07"
656,296,50,9,"2024-10-07"
657,94,58,7,"2024-10-07"
658,237,100,23,"2024-10-07"
659,19,18,55,"2024-10-07"
660,139,37,69,"2024-10-07"
661,99,22,86,"2024-10-07"
662,181,40,22,"2024-10-06"
663,252,96,40,"2024-10-07"
664,85,65,16,"2024-10-06"
665,123,76,22,"2024-10-07"
666,287,63,27,"2024-10-06"
667,185,96,87,"2024-10-07"
668,62,69,53,"2024-10-07"
669,11,78,35,"2024-10-06"
670,5,53,50,"2024-10-07"
671,96,55,80,"2024-10-07"
672,244,73,18,"2024-10-06"
673,130,6,39,"2024-10-06"
674,3,20,42,"2024-10-07"
675,246,53,26,"2024-10-07"
676,140,95,12,"2024-10-07"
677,300,73,41,"2024-10-06"
678,9,72,74,"2024-10-07"
679,259,59,36,"2024-10-06"
680,110,10,5,"2024-10-07"
681,81,56,81,"2024-10-07"
682,175,25,52,"2024-10-07"
683,13,73,64,"2024-10-06"
684,111,95,61,"2024-10-07"
685,164,35,28,"2024-10-07"
686,247,11,45,"2024-10-06"
687,144,17,77,"2024-10-06"
688,37,84,84,"2024-10-06"
689,260,12,54,"2024-10-07"
690,248,17,54,"2024-10-06"
691,5,88,71,"2024-10-07"
692,21,69,29,"2024-10-06"
693,293,98,37,"2024-10-06"
694,40,81,78,"2024-10-07"
695,265,13,98,"2024-10-06"
696,281,72,28,"2024-10-07"
697,62,34,27,"2024-10-06"
698,236,37,56,"2024-10-07"
699,250,93,24,"2024-10-06"
700,49,2,57,"2024-10-06"
701,156,56,92,"2024-10-07"
702,159,76,40,"2024-10-07"
703,91,29,82,"2024-10-07"
704,51,2,85,"2024-10-07"
705,169,75,42,"2024-10-07"
706,232,94,8,"2024-10-06"
707,205,68,9,"2024-10-06"
708,119,85,87,"2024-10-07"
709,260,60,10,"2024-10-07"
710,183,61,88,"2024-10-06"
711,278,8,27,"2024-10-06"
712,29,22,84,"2024-10-06"
713,247,14,52,"2024-10-06"
714,220,92,79,"2024-10-07"
715,185,44,84,"2024-10-07"
716,18,3,4,"2024-10-06"
717,171,97,32,"2024-10-06"
718,177,83,93,"2024-10-07"
719,88,8,80,"2024-10-07"
720,109,60,59,"2024-10-06"
721,182,32,70,"2024-10-06"
722,84,86,72,"2024-10-07"
723,13,36,42,"2024-10-07"
724,235,46,1,"2024-10-06"
725,214,17,95,"2024-10-07"
726,169,79,95,"2024-10-07"
727,226,46,16,"2024-10-06"
728,59,94,28,"2024-10-07"
729,87,41,49,"2024-10-06"
730,51,42,14,"2024-10-07"
731,117,76,23,"2024-10-07"
732,190,70,98,"2024-10-06"
733,56,100,2,"2024-10-06"
734,275,75,12,"2024-10-07"
735,17,62,63,"2024-10-06"
736,149,99,91,"2024-10-07"
737,95,24,38,"2024-10-06"
738,195,26,99,"2024-10-06"
739,11,96,58,"2024-10-06"
740,281,14,94,"2024-10-07"
741,237,18,35,"2024-10-07"
742,108,17,52,"2024-10-06"
743,265,46,50,"2024-10-07"
744,108,77,21,"2024-10-07"
745,125,65,74,"2024-10-06"
746,56,70,89,"2024-10-07"
747,155,46,1,"2024-10-07"
748,210,58,40,"2024-10-06"
749,230,7,28,"2024-10-06"
750,25,28,99,"2024-10-07"
751,298,3,58,"2024-10-06"
752,25,62,64,"2024-10-07"
753,53,60,87,"2024-10-07"
754,292,41,100,"2024-10-07"
755,121,77,92,"2024-10-07"
756,225,75,75,"2024-10-07"
757,212,47,13,"2024-10-07"
758,55,22,31,"2024-10-06"
759,150,65,48,"2024-10-07"
760,261,53,54,"2024-10-07"
761,240,47,48,"2024-10-06"
762,58,96,13,"2024-10-06"
763,186,81,80,"2024-10-06"
764,159,73,21,"2024-10-06"
765,66,77,39,"2024-10-06"
766,260,44,64,"2024-10-07"
767,209,3,56,"2024-10-06"
768,221,10,4,"2024-10-06"
769,51,32,27,"2024-10-06"
770,208,29,71,"2024-10-07"
771,62,30,58,"2024-10-06"
772,267,24,13,"2024-10-06"
773,94,58,67,"2024-10-06"
774,274,19,28,"2024-10-07"
775,205,1,26,"2024-10-07"
776,163,64,38,"2024-10-06"
777,280,4,47,"2024-10-07"
778,14,12,76,"2024-10-06"
779,32,19,47,"2024-10-07"
780,80,86,76,"2024-10-06"
781,214,46,76,"2024-10-07"
782,195,20,85,"2024-10-07"
783,220,43,77,"2024-10-07"
784,253,25,86,"2024-10-06"
785,275,58,54,"2024-10-07"
786,204,36,94,"2024-10-07"
787,218,36,94,"2024-10-06"
788,214,95,26,"2024-10-07"
789,211,29,55,"2024-10-06"
790,262,59,44,"2024-10-07"
791,298,94,19,"2024-10-07"
792,28,63,59,"2024-10-06"
793,146,62,25,"2024-10-07"
794,205,34,24,"2024-10-06"
795,61,45,98,"2024-10-06"
796,149,62,77,"2024-10-06"
797,179,40,72,"2024-10-06"
798,277,36,65,"2024-10-06"
799,234,97,91,"2024-10-06"
800,153,47,32,"2024-10-07"
801,223,69,36,"2024-10-06"
802,233,29,77,"2024-10-07"
803,289,26,6,"2024-10-07"
804,120,21,79,"2024-10-06"
805,248,16,82,"2024-10-06"
806,123,24,38,"2024-10-06"
807,62,36,24,"2024-10-07"
808,201,14,59,"2024-10-06"
809,183,91,16,"2024-10-07"
810,300,29,29,"2024-10-06"
811,52,96,6,"2024-10-06"
812,282,18,92,"2024-10-06"
813,16,85,44,"2024-10-06"
814,217,7,39,"2024-10-07"
815,238,27,20,"2024-10-07"
816,180,53,70,"2024-10-07"
817,99,79,8,"2024-10-07"
818,170,76,34,"2024-10-07"
819,205,79,90,"2024-10-07"
820,63,82,6,"2024-10-06"
821,110,74,87,"2024-10-06"
