reviewId,userId,trainingId,organisationScore,communicationMarks,hardWorkingMarks,disciplineMarks
305,123,40,52,0,1,0
306,83,90,28,0,1,1
307,118,37,88,0,0,0
308,127,87,17,0,0,1
309,210,93,64,0,0,0
310,217,93,82,1,0,0
311,54,93,83,0,0,0
312,27,25,91,0,1,0
313,274,22,20,0,0,0
314,168,89,64,0,0,0
315,152,74,82,1,1,0
316,141,28,33,0,1,1
317,94,18,1,0,1,0
318,201,76,52,1,1,0
319,267,32,6,1,0,0
320,56,37,48,0,1,0
321,254,81,100,1,1,1
322,39,99,91,0,0,0
323,201,56,12,0,1,0
324,13,12,80,0,0,0
325,256,17,21,0,1,1
326,193,94,75,0,0,1
327,242,5,98,1,1,1
328,242,78,50,1,1,0
329,75,47,56,0,0,1
330,51,90,97,0,1,1
331,206,17,4,1,0,1
332,173,7,45,1,0,1
333,208,80,62,0,0,0
334,98,73,77,1,1,0
335,221,24,62,0,0,1
336,193,27,34,1,1,0
337,128,99,40,1,0,0
338,31,16,44,0,1,1
339,275,84,69,1,1,0
340,130,46,94,1,1,0
341,270,48,61,0,0,0
342,164,65,67,0,1,0
343,37,34,63,0,0,0
344,260,76,30,1,0,0
345,250,20,29,1,0,1
346,251,22,29,1,0,1
347,32,4,22,0,1,0
348,27,68,67,1,1,1
349,69,88,70,0,0,1
350,129,84,32,0,1,1
351,219,34,13,0,0,1
352,82,43,93,1,0,0
353,216,60,6,0,0,0
354,108,51,92,1,1,1
355,222,4,7,1,1,0
356,248,21,23,1,1,0
357,21,17,86,0,0,0
358,92,81,0,1,1,1
359,88,46,73,1,1,0
360,267,22,57,1,0,1
361,28,95,45,1,1,1
362,184,65,91,0,0,1
363,208,57,26,0,0,0
364,215,32,43,1,0,1
365,4,5,80,0,0,1
366,164,12,85,0,0,0
367,3,54,65,0,0,1
368,174,63,7,0,0,1
369,75,17,38,1,1,0
370,38,13,3,0,1,1
371,214,27,27,1,0,0
372,191,50,39,0,1,1
373,206,12,52,1,1,0
374,236,17,22,1,0,0
375,110,23,15,0,1,0
376,183,74,4,1,0,1
377,80,68,67,0,0,1
378,203,88,43,0,0,0
379,233,77,73,1,0,1
380,53,94,42,1,0,1
381,5,48,89,0,1,0
382,73,42,35,0,1,1
383,151,5,50,1,0,0
384,55,13,93,1,0,0
385,231,93,38,1,1,1
386,57,76,32,0,1,0
387,136,87,35,0,0,1
388,170,31,36,1,1,0
389,81,57,48,1,0,1
390,137,55,9,0,0,1
391,253,66,17,0,1,1
392,25,51,61,1,0,1
393,174,95,11,1,1,1
394,296,61,20,1,1,0
395,153,85,31,0,1,1
396,295,29,88,0,0,0
397,209,13,41,0,0,1
398,105,69,47,1,1,0
399,242,7,43,0,0,1
400,207,40,3,0,0,0
401,162,47,15,1,1,1
402,116,74,83,0,1,0
403,133,46,0,0,0,1
404,97,54,10,0,0,0
405,240,30,92,0,0,1
406,177,78,21,0,0,0
407,242,66,85,0,1,0
408,91,22,88,0,0,1
409,20,1,24,1,0,0
410,24,100,94,0,1,0
411,170,6,51,0,0,1
412,281,5,81,1,1,1
413,17,38,62,0,1,0
414,171,36,37,1,1,1
415,113,97,74,1,0,0
416,123,20,25,1,0,0
417,61,66,41,1,0,0
418,218,83,12,0,1,0
419,149,59,83,0,1,1
420,230,93,63,0,0,0
421,128,54,0,0,0,0
422,279,7,5,1,0,1
423,103,94,4,1,1,0
424,270,28,55,0,1,0
425,247,66,72,0,0,1
426,280,7,73,0,0,1
427,211,58,51,0,1,1
428,170,36,17,0,0,1
429,22,50,21,1,1,1
430,33,61,76,0,1,1
431,66,38,63,0,1,0
432,83,31,10,1,0,1
433,48,23,31,0,1,0
434,3,59,18,0,1,1
435,221,24,95,1,0,1
436,91,6,5,1,0,1
437,85,24,30,1,1,1
438,80,10,89,0,1,0
439,19,63,4,1,1,0
440,253,57,10,1,1,1
441,208,30,15,1,0,0
442,34,82,74,0,1,1
443,142,32,68,1,0,0
444,78,2,16,1,0,0
445,23,19,0,1,1,1
446,21,3,37,1,0,1
447,30,97,72,1,1,0
448,250,71,57,1,0,0
449,44,34,28,1,1,0
450,208,96,66,1,0,0
451,68,74,47,1,0,0
452,130,67,60,1,0,1
453,284,89,86,1,1,0
454,104,1,87,0,0,1
455,2,92,38,0,1,1
456,99,36,57,0,1,0
457,180,23,76,0,0,1
458,113,52,7,1,1,1
459,5,44,29,1,0,0
460,165,64,97,0,1,1
461,233,4,70,0,0,0
462,224,5,7,1,1,0
463,45,27,41,0,1,1
464,142,38,24,1,0,0
465,143,31,16,1,0,0
466,164,54,3,1,0,0
467,91,74,33,1,0,1
468,113,30,2,0,0,1
469,142,71,90,1,1,1
470,1,26,77,0,0,0
471,27,66,22,0,0,1
472,223,86,85,1,0,0
473,5,84,3,0,1,0
474,28,73,46,0,0,0
475,278,12,9,0,1,0
476,33,24,28,0,1,0
477,90,85,19,1,0,0
478,213,36,58,1,0,1
479,147,46,4,1,1,1
480,281,33,57,0,0,1
481,126,28,48,0,1,1
482,180,27,88,0,0,1
483,96,64,87,0,1,1
484,12,71,27,0,1,0
485,190,14,55,0,0,1
486,51,63,32,0,1,1
487,23,85,10,0,0,1
488,115,22,38,0,1,1
489,198,34,58,1,0,1
490,13,80,90,0,0,1
491,4,40,44,0,0,1
492,48,34,99,0,1,1
493,160,69,82,1,1,0
494,187,82,53,1,0,0
495,140,9,17,1,0,1
496,279,90,34,1,0,0
497,5,57,0,0,1,0
498,190,73,84,1,1,0
499,20,38,87,1,0,1
500,296,77,45,0,1,0
501,226,18,17,0,0,0
502,60,68,19,1,1,1
503,225,80,0,1,0,0
504,160,94,35,1,0,0
505,126,66,78,1,0,1
506,111,13,42,0,1,1
507,36,62,73,1,1,1
508,286,31,34,1,0,0
509,22,55,9,0,1,0
510,164,46,73,0,1,1
511,110,96,86,1,1,1
512,267,25,19,0,0,1
513,82,39,77,1,1,0
514,299,22,23,0,0,0
515,234,99,93,0,1,1
516,287,17,60,1,1,1
517,108,31,78,1,0,1
518,180,47,16,1,0,1
519,93,32,41,1,1,1
520,126,6,82,1,0,1
521,250,26,30,1,1,1
522,130,8,80,1,1,0
523,242,86,36,0,1,1
524,35,78,0,0,1,0
525,278,67,79,0,0,1
526,265,97,12,0,1,1
527,234,59,82,0,1,1
528,230,28,2,1,1,0
529,131,42,94,0,0,0
530,66,83,35,0,1,1
531,241,72,100,1,0,0
532,204,86,28,1,0,0
533,260,33,26,0,0,0
534,137,36,85,1,1,0
535,189,73,51,1,0,0
536,9,68,19,0,1,1
537,244,17,90,0,1,0
538,79,91,21,1,0,1
539,173,3,31,1,0,1
540,81,72,54,0,1,0
541,249,51,75,0,1,0
542,11,35,81,1,0,0
543,31,83,1,0,0,1
544,168,96,62,1,0,0
545,276,79,17,0,1,0
546,278,5,23,1,1,0
547,51,17,52,1,1,0
548,236,99,80,0,0,0
549,208,77,25,1,0,1
550,259,45,67,0,1,0
551,110,78,86,0,1,0
552,219,24,14,0,0,1
553,53,56,39,0,1,1
554,294,51,89,1,1,0
555,270,90,56,1,1,0
556,109,27,98,0,0,1
557,129,54,90,1,1,0
558,21,19,55,0,0,0
559,88,62,76,1,0,1
560,95,99,4,0,0,0
561,181,74,77,1,1,1
562,195,47,45,0,0,0
563,80,97,17,0,0,0
564,115,4,76,1,1,0
565,90,63,17,0,0,0
566,235,45,22,0,0,0
567,134,47,0,1,0,1
568,178,8,79,0,1,0
569,248,84,82,0,0,0
570,120,23,0,0,0,1
571,242,73,27,0,1,0
572,82,54,62,1,0,0
573,14,13,0,0,1,1
574,206,10,63,0,0,0
575,236,56,64,1,1,1
576,244,23,48,0,1,0
577,148,68,93,0,0,1
578,241,14,7,0,0,1
579,8,24,68,1,1,0
580,140,25,3,0,0,1
581,134,10,16,0,1,1
582,43,64,85,1,1,0
583,80,8,1,1,0,1
584,211,24,17,1,0,0
585,233,45,65,0,1,0
586,171,73,96,1,0,0
587,249,10,77,1,1,1
588,179,36,62,0,1,1
589,279,12,16,1,0,0
590,255,30,38,0,0,1
591,1,4,96,1,1,0
592,13,59,23,1,0,0
593,263,91,21,1,1,1
594,5,48,9,0,0,0
595,276,42,93,1,1,0
596,75,42,99,1,1,0
597,18,93,73,0,0,0
598,275,65,59,0,0,1
599,131,74,63,0,0,0
600,180,2,0,1,0,0
601,260,9,5,0,1,0
602,6,8,42,1,0,0
603,231,16,7,1,0,0
604,22,86,97,0,0,1
605,267,74,61,1,0,0
606,209,75,7,0,1,1
607,209,90,88,0,1,0
608,127,1,13,0,0,0
609,215,12,74,1,1,1
610,8,42,4,0,0,0
611,8,14,81,0,0,1
612,111,69,15,1,0,1
613,222,64,82,1,0,1
614,250,50,53,0,1,0
615,28,49,74,1,1,0
616,98,51,78,1,1,1
617,176,91,23,0,0,1
618,244,98,22,0,1,1
619,179,23,57,1,1,0
620,54,6,38,0,1,0
621,84,72,65,0,0,1
622,155,71,23,1,0,0
623,273,94,91,1,1,1
624,7,53,68,0,0,0
625,248,80,47,1,0,0
626,260,100,25,1,0,0
627,8,54,8,0,0,0
628,244,10,55,1,0,1
629,36,62,61,1,1,0
630,242,97,74,0,1,1
631,22,57,87,0,0,0
632,170,56,22,0,0,0
633,121,82,90,1,0,1
634,293,78,52,1,0,0
635,203,74,46,0,1,1
636,237,23,5,0,0,0
637,169,27,36,1,1,0
638,126,12,57,1,1,0
639,293,12,75,0,1,0
640,33,70,7,1,1,0
641,9,6,7,1,1,1
642,208,22,92,1,1,1
643,20,82,0,1,1,1
644,101,64,88,1,1,1
645,228,68,85,1,0,1
646,54,13,90,1,1,1
647,96,70,92,0,1,0
648,48,91,55,1,0,1
649,74,32,63,0,0,1
650,294,9,18,1,1,1
651,133,45,73,0,1,1
652,10,80,96,0,1,0
653,254,94,92,0,1,0
654,58,11,61,1,0,1
655,233,23,89,1,0,0
656,221,65,39,0,0,1
657,69,74,85,1,1,0
658,104,41,0,0,1,0
659,67,89,6,0,1,1
660,189,17,37,0,0,0
661,84,85,57,0,0,0
662,249,72,37,1,1,1
663,288,85,34,1,1,0
664,80,25,17,0,1,1
665,186,29,59,0,1,0
666,266,74,52,1,0,0
667,246,84,51,0,0,1
668,262,1,12,0,1,0
669,119,51,44,0,0,1
670,267,47,98,0,1,1
671,61,59,27,0,0,1
672,193,94,67,0,0,1
673,121,75,80,1,0,1
674,206,44,7,0,0,0
675,214,15,36,0,1,1
676,157,67,69,0,0,0
677,10,46,53,1,1,0
678,37,15,1,0,1,0
679,194,41,87,1,1,1
680,45,34,41,1,1,0
681,168,59,36,1,1,0
682,1,88,98,0,1,1
683,105,70,36,1,1,1
684,250,61,74,1,1,1
685,78,47,68,1,0,0
686,274,26,96,1,0,1
687,232,42,99,1,0,1
688,276,72,14,0,1,0
689,252,100,95,1,1,0
690,120,47,51,0,1,0
691,278,38,41,1,0,0
692,24,51,20,0,0,1
693,133,21,61,0,0,1
694,182,38,83,0,1,0
695,221,32,96,0,0,0
696,264,100,3,1,1,1
697,50,9,88,0,1,1
698,95,65,58,1,0,1
699,97,30,58,1,0,1
700,241,19,92,1,1,0
701,145,98,72,1,1,1
702,204,66,82,1,0,0
703,158,99,47,0,0,1
704,55,42,63,0,0,0
705,58,37,76,1,1,1
706,238,24,16,0,0,0
707,261,39,26,0,1,0
708,293,95,88,1,1,0
709,92,95,43,0,1,1
710,2,16,96,0,0,0
711,255,63,54,0,1,0
712,101,78,85,0,1,0
713,223,43,7,0,1,1
714,16,91,53,1,1,1
715,18,67,30,1,1,1
716,163,48,27,1,1,1
717,54,15,29,0,1,1
718,185,24,71,1,0,1
719,36,70,68,0,0,1
720,127,9,77,0,1,0
721,172,89,60,0,1,0
722,50,84,18,1,1,0
723,126,95,79,1,1,1
724,183,5,57,1,0,1
725,129,38,82,1,0,0
726,269,3,53,0,0,1
727,93,59,30,0,0,0
728,161,100,66,0,1,1
729,297,41,55,0,0,1
730,197,94,41,1,0,1
731,166,78,34,1,1,1
732,93,24,78,0,1,0
733,188,67,19,1,1,1
734,112,75,10,0,0,0
735,4,16,62,0,0,1
736,214,85,0,0,1,0
737,80,55,56,1,1,1
738,119,23,57,1,1,1
739,18,13,40,0,1,0
740,34,78,38,0,0,0
741,183,20,3,0,0,1
742,99,19,41,1,0,0
743,297,38,42,0,0,1
744,280,99,100,1,1,0
745,186,90,44,0,0,1
746,281,92,32,1,0,0
747,251,41,50,1,1,1
748,96,16,45,1,1,1
749,3,19,35,0,0,1
750,9,67,66,1,0,1
751,54,63,21,0,0,0
752,75,52,42,1,0,1
753,108,99,73,1,0,0
754,245,84,23,1,1,1
755,201,12,93,1,1,1
756,192,45,90,1,1,0
757,42,20,87,1,1,1
758,34,45,74,0,1,0
759,119,34,78,1,0,0
760,244,52,88,0,1,0
761,19,42,1,0,1,0
762,147,4,89,0,0,1
763,281,55,69,1,0,0
764,44,30,49,1,0,1
765,267,7,68,0,1,0
766,71,16,19,1,1,0
767,83,65,52,0,1,1
768,1,1,94,0,1,1
769,72,79,38,0,0,0
770,221,11,36,1,1,1
771,38,94,49,1,0,1
772,141,22,28,1,0,1
773,93,20,4,1,1,0
774,205,51,25,1,0,0
775,228,56,36,0,0,1
776,31,92,88,0,0,1
777,141,79,36,1,0,1
778,14,14,57,0,1,1
779,184,5,25,1,1,0
780,115,61,39,1,0,1
781,142,7,39,0,1,1
782,67,86,22,0,0,0
783,170,97,85,0,1,0
784,68,20,30,0,1,0
785,160,70,64,0,0,0
786,160,61,100,0,1,0
787,263,15,38,0,1,0
788,271,64,9,0,1,0
789,127,16,68,0,1,1
790,115,15,26,1,1,0
791,105,64,45,1,0,1
792,267,43,87,0,0,1
793,288,71,40,1,1,0
794,289,8,17,1,1,1
795,263,51,53,1,0,1
796,164,19,62,1,0,1
797,294,61,63,0,0,1
798,102,83,3,1,1,1
799,87,64,8,1,0,1
800,104,32,54,1,0,1
801,223,63,10,1,0,1
802,22,4,74,1,1,0
803,279,100,77,1,0,1
804,215,17,17,1,1,0
805,39,51,32,0,1,1
806,66,39,28,1,0,1
807,6,53,54,1,1,0
808,176,9,26,1,0,0
809,118,22,56,1,0,0
810,128,16,80,1,0,0
811,33,50,47,1,0,1
812,192,23,42,1,0,0
813,260,5,71,0,0,0
814,283,25,88,1,1,0
815,284,19,42,0,0,1
816,155,65,98,1,0,1
817,79,1,80,1,1,1
818,30,90,62,0,1,0
819,224,31,92,1,1,0
820,65,29,29,0,1,1
821,261,56,42,0,0,1
822,245,70,72,1,0,0
823,210,80,22,1,0,1
824,287,69,46,0,0,0
825,113,78,60,0,0,1
826,261,16,57,1,0,0
827,213,41,34,0,0,0
828,15,21,90,0,0,1
829,106,69,83,0,0,1
830,276,32,68,1,1,1
831,23,85,33,1,1,1
832,167,43,87,0,0,1
833,268,63,85,0,0,0
834,121,11,10,0,0,1
835,24,47,76,1,1,1
836,226,7,55,1,0,1
837,167,13,44,1,1,1
838,209,100,97,1,1,1
839,253,98,81,0,1,0
840,289,64,19,0,0,1
841,225,35,14,1,1,0
842,87,77,59,0,0,0
843,283,23,76,0,1,1
844,187,64,78,0,0,0
845,233,5,58,0,1,1
846,279,92,48,0,1,1
847,43,2,7,0,1,0
848,286,85,34,1,1,0
849,296,17,41,1,1,1
850,229,12,13,0,1,1
851,105,14,0,1,0,1
852,256,38,21,0,1,0
853,277,44,3,0,0,1
854,219,51,88,0,0,1
855,83,3,22,0,1,1
856,221,65,46,1,0,1
857,262,85,85,0,1,0
858,133,81,75,1,1,1
859,52,40,73,1,0,0
860,214,73,61,1,0,0
861,48,66,11,0,1,1
862,288,39,92,1,1,0
863,102,2,57,1,0,0
864,246,13,63,1,1,0
865,226,90,99,1,0,0
866,45,9,13,1,1,1
867,238,7,95,0,0,1
868,36,58,24,1,0,1
869,296,26,81,0,0,0
870,234,98,57,0,1,1
871,235,38,12,1,1,0
872,81,34,76,0,0,0
873,256,32,7,0,0,0
874,260,52,2,1,0,0
875,204,49,94,0,0,1
876,133,42,52,1,1,1
877,54,26,27,1,0,1
878,145,29,81,0,0,0
879,10,10,78,1,1,1
880,109,82,63,0,0,0
881,142,46,28,0,1,0
882,211,73,8,0,1,0
883,134,28,43,1,1,0
884,32,100,15,1,1,1
885,236,69,18,1,1,0
886,63,57,47,0,1,1
887,274,30,23,1,1,1
888,231,61,0,1,0,1
889,97,49,64,1,1,1
890,70,60,12,0,0,0
891,37,95,48,1,1,1
892,33,43,15,1,0,1
893,86,54,77,1,1,1
894,14,30,50,0,1,0
895,14,3,3,0,1,0
896,192,74,67,1,0,0
897,257,60,12,0,0,0
898,112,57,99,1,1,1
899,37,92,77,1,0,0
900,207,52,98,0,1,0
901,53,30,9,0,0,0
902,29,93,21,1,0,0
903,189,29,39,1,0,0
904,1,2,26,0,1,1
905,41,94,74,1,1,0
906,169,5,63,0,1,0
907,207,11,15,0,0,1
908,150,11,88,0,1,1
909,242,18,65,0,1,1
910,22,36,96,1,0,0
911,278,27,77,0,0,1
912,174,83,24,1,0,1
913,229,10,31,1,1,1
914,13,26,68,0,0,0
915,223,12,55,0,0,1
916,201,67,1,0,1,0
917,278,12,59,0,1,0
918,47,12,59,1,0,0
919,80,42,55,0,0,1
920,206,81,31,1,1,1
921,124,69,49,0,0,1
922,179,86,7,1,0,1
923,21,13,49,0,0,0
924,103,18,17,0,1,1
925,296,35,7,0,0,1
926,18,29,30,0,0,1
927,262,75,26,0,1,0
928,243,94,73,0,1,1
929,137,56,91,0,0,1
930,273,17,71,1,0,0
931,163,10,91,0,1,1
932,2,3,70,0,1,1
933,79,27,40,0,0,0
934,183,16,27,0,1,0
935,24,33,0,0,1,0
936,196,77,39,0,1,1
937,132,58,10,1,0,0
938,237,54,100,1,1,1
939,27,51,18,0,1,0
940,178,77,76,0,0,1
941,137,2,43,0,1,0
942,205,53,48,1,1,1
943,213,66,46,1,0,1
944,118,97,29,0,1,0
945,168,15,2,1,1,1
946,78,81,18,1,0,0
947,278,80,11,0,0,0
948,217,100,45,1,0,0
949,154,58,74,1,0,0
950,42,88,22,0,1,1
951,140,64,69,1,0,1
952,67,87,22,1,1,1
953,101,4,37,1,0,1
954,132,99,29,1,0,0
955,263,41,21,1,1,0
956,136,49,19,1,1,0
957,9,91,25,1,0,1
958,215,15,56,0,1,0
959,227,87,27,1,1,1
960,205,72,48,0,1,1
961,103,22,45,1,1,0
962,25,38,56,1,0,0
963,70,64,92,1,0,0
964,112,77,62,0,0,1
965,7,8,81,0,1,0
966,186,74,86,0,0,0
967,260,93,75,1,1,0
968,33,37,80,0,1,1
969,178,1,38,1,1,1
970,4,51,15,0,0,0
971,253,31,40,1,0,0
972,207,42,29,0,1,1
973,167,43,35,1,1,1
974,3,88,87,0,0,0
975,221,21,97,0,1,1
976,34,89,15,1,0,0
977,101,74,73,1,1,1
978,243,85,32,0,0,0
979,25,36,0,1,0,0
980,197,21,10,1,0,1
981,21,15,16,0,0,0
982,246,69,87,0,0,0
983,140,93,6,1,1,1
984,253,81,88,1,1,0
985,286,92,24,0,1,1
986,130,48,4,1,1,1
987,253,89,28,0,1,0
988,27,76,9,1,0,0
989,52,98,74,0,1,0
990,108,89,11,1,0,0
991,268,31,82,0,1,1
992,86,31,64,1,1,0
993,289,35,57,0,0,1
