reviewId,userId,trainingId,organisationScore,communicationMarks,hardWorkingMarks,disciplineMarks,performanceScore
149,224,93,56,1,1,0,2
150,125,15,86,1,1,1,3
151,178,25,69,1,0,1,2
152,55,54,30,0,0,0,0
153,78,15,58,1,1,1,3
154,116,54,86,1,0,1,2
155,254,100,21,0,0,0,0
156,169,67,92,0,0,1,1
157,177,47,38,1,1,0,2
158,253,98,47,1,0,0,1
159,57,3,48,1,1,1,3
160,270,29,38,1,0,0,1
161,64,48,26,1,0,1,2
162,53,50,53,0,0,1,1
163,77,17,53,0,0,1,1
164,67,47,72,0,1,1,2
165,15,54,20,1,1,1,3
166,10,29,83,1,0,0,1
167,95,15,9,0,0,0,0
168,242,69,34,1,0,0,1
169,293,14,34,0,0,1,1
170,199,67,91,0,1,0,1
171,36,71,30,0,0,0,0
172,297,83,0,1,1,1,3
173,136,91,17,0,0,0,0
174,204,84,49,1,1,0,2
175,231,56,74,0,1,0,1
176,249,26,88,1,0,0,1
177,141,48,1,0,1,0,1
178,134,7,61,1,1,1,3
179,248,56,24,0,1,0,1
180,53,40,51,1,1,0,2
181,140,77,53,0,1,1,2
182,3,97,64,1,1,1,3
183,284,85,46,0,0,1,1
184,197,85,90,0,1,0,1
185,259,84,74,1,0,1,2
186,96,61,23,0,0,1,1
187,261,46,92,0,0,1,1
188,171,36,96,1,1,0,2
189,7,22,15,1,1,1,3
190,290,71,28,0,0,0,0
191,46,65,97,1,0,1,2
192,87,83,60,1,0,0,1
193,116,15,13,0,1,1,2
194,253,96,8,1,1,0,2
195,16,59,30,0,0,0,0
196,60,72,40,0,1,0,1
197,170,67,93,1,1,0,2
198,133,41,5,1,1,1,3
199,119,39,44,1,1,1,3
200,53,41,38,1,1,1,3
201,117,18,56,1,1,1,3
202,143,36,79,1,1,0,2
203,18,1,52,1,0,0,1
204,269,45,69,1,0,0,1
205,31,66,73,1,1,1,3
206,202,62,13,0,0,1,1
207,230,79,32,1,1,1,3
208,153,97,54,1,1,1,3
209,137,99,30,1,1,1,3
210,271,46,92,0,0,0,0
211,268,23,42,0,0,1,1
212,256,13,82,0,1,1,2
213,276,33,58,0,1,0,1
214,95,69,1,0,0,0,0
215,63,52,15,0,1,1,2
216,277,36,73,0,1,0,1
217,74,92,41,0,0,1,1
218,289,70,26,0,1,1,2
219,203,96,19,1,1,0,2
220,174,18,40,1,0,1,2
221,76,89,50,0,1,1,2
222,202,99,17,1,1,1,3
223,208,89,80,0,1,0,1
224,51,34,54,0,0,0,0
225,177,34,88,0,1,0,1
226,27,66,5,1,0,0,1
227,206,54,69,0,1,0,1
228,113,54,80,0,1,1,2
229,84,22,73,0,0,0,0
230,259,37,28,0,1,1,2
231,112,75,86,1,1,1,3
232,297,18,96,0,1,1,2
233,165,26,25,0,0,1,1
234,151,72,97,0,1,0,1
235,202,40,51,0,1,1,2
236,148,91,64,0,1,0,1
237,110,96,76,0,1,1,2
238,77,82,1,1,1,1,3
239,207,34,66,0,1,1,2
240,193,88,80,1,0,0,1
241,219,54,41,0,0,0,0
242,181,96,54,0,0,0,0
243,33,94,20,1,0,0,1
244,202,82,68,1,1,0,2
245,191,56,65,1,1,0,2
246,221,52,36,0,1,0,1
247,101,22,33,0,0,0,0
248,171,67,19,1,0,0,1
249,193,64,39,0,0,1,1
250,203,32,71,1,1,1,3
251,93,93,100,0,0,0,0
252,296,37,57,1,0,1,2
253,48,91,44,1,1,0,2
254,96,47,96,1,1,1,3
255,226,51,98,1,0,0,1
256,171,90,4,1,0,1,2
257,123,40,85,1,0,1,2
258,214,6,19,0,0,1,1
259,59,2,73,0,0,0,0
260,245,48,5,1,1,0,2
261,151,99,3,0,0,0,0
262,31,25,48,1,1,1,3
263,206,18,34,0,1,1,2
264,270,39,41,0,1,0,1
265,148,73,79,0,0,1,1
266,203,91,38,1,1,1,3
267,198,5,83,0,1,0,1
268,18,47,60,0,0,1,1
269,115,49,45,0,0,0,0
270,90,47,94,1,1,1,3
271,149,3,100,0,1,1,2
272,298,41,70,0,0,0,0
273,41,11,76,1,1,0,2
274,270,11,56,1,1,1,3
275,128,68,70,1,1,0,2
276,131,82,5,0,0,0,0
277,111,56,95,0,1,1,2
278,49,3,40,1,1,1,3
279,151,3,64,0,0,1,1
280,296,37,45,0,1,0,1
281,55,61,69,1,0,1,2
282,274,79,30,1,0,0,1
283,131,63,77,1,0,0,1
284,55,28,80,0,1,0,1
285,102,70,12,0,0,0,0
286,34,65,40,1,0,1,2
287,263,42,3,1,1,1,3
288,10,1,60,0,0,1,1
289,202,50,51,1,0,1,2
290,34,69,24,1,0,1,2
291,234,79,68,1,0,0,1
292,295,9,82,0,1,0,1
293,122,75,84,0,0,1,1
294,203,20,73,0,0,0,0
295,151,8,38,0,0,0,0
296,288,61,33,1,1,1,3
297,286,34,38,0,1,1,2
298,239,47,88,1,1,1,3
299,100,1,70,0,0,1,1
300,59,3,59,0,0,1,1
301,139,79,11,1,0,0,1
302,47,97,68,1,1,0,2
303,259,29,83,1,0,0,1
304,274,61,12,0,0,1,1
305,123,40,52,0,1,0,1
306,83,90,28,0,1,1,2
307,118,37,88,0,0,0,0
308,127,87,17,0,0,1,1
309,210,93,64,0,0,0,0
310,217,93,82,1,0,0,1
311,54,93,83,0,0,0,0
312,27,25,91,0,1,0,1
313,274,22,20,0,0,0,0
314,168,89,64,0,0,0,0
315,152,74,82,1,1,0,2
316,141,28,33,0,1,1,2
317,94,18,1,0,1,0,1
318,201,76,52,1,1,0,2
319,267,32,6,1,0,0,1
320,56,37,48,0,1,0,1
321,254,81,100,1,1,1,3
322,39,99,91,0,0,0,0
323,201,56,12,0,1,0,1
324,13,12,80,0,0,0,0
325,256,17,21,0,1,1,2
326,193,94,75,0,0,1,1
327,242,5,98,1,1,1,3
328,242,78,50,1,1,0,2
329,75,47,56,0,0,1,1
330,51,90,97,0,1,1,2
331,206,17,4,1,0,1,2
332,173,7,45,1,0,1,2
333,208,80,62,0,0,0,0
334,98,73,77,1,1,0,2
335,221,24,62,0,0,1,1
336,193,27,34,1,1,0,2
337,128,99,40,1,0,0,1
338,31,16,44,0,1,1,2
339,275,84,69,1,1,0,2
340,130,46,94,1,1,0,2
341,270,48,61,0,0,0,0
342,164,65,67,0,1,0,1
343,37,34,63,0,0,0,0
344,260,76,30,1,0,0,1
345,250,20,29,1,0,1,2
346,251,22,29,1,0,1,2
347,32,4,22,0,1,0,1
348,27,68,67,1,1,1,3
349,69,88,70,0,0,1,1
350,129,84,32,0,1,1,2
351,219,34,13,0,0,1,1
352,82,43,93,1,0,0,1
353,216,60,6,0,0,0,0
354,108,51,92,1,1,1,3
355,222,4,7,1,1,0,2
356,248,21,23,1,1,0,2
357,21,17,86,0,0,0,0
358,92,81,0,1,1,1,3
359,88,46,73,1,1,0,2
360,267,22,57,1,0,1,2
361,28,95,45,1,1,1,3
362,184,65,91,0,0,1,1
363,208,57,26,0,0,0,0
364,215,32,43,1,0,1,2
365,4,5,80,0,0,1,1
366,164,12,85,0,0,0,0
367,3,54,65,0,0,1,1
368,174,63,7,0,0,1,1
369,75,17,38,1,1,0,2
370,38,13,3,0,1,1,2
371,214,27,27,1,0,0,1
372,191,50,39,0,1,1,2
373,206,12,52,1,1,0,2
374,236,17,22,1,0,0,1
375,110,23,15,0,1,0,1
376,183,74,4,1,0,1,2
377,80,68,67,0,0,1,1
378,203,88,43,0,0,0,0
379,233,77,73,1,0,1,2
380,53,94,42,1,0,1,2
381,5,48,89,0,1,0,1
382,73,42,35,0,1,1,2
383,151,5,50,1,0,0,1
384,55,13,93,1,0,0,1
385,231,93,38,1,1,1,3
386,57,76,32,0,1,0,1
387,136,87,35,0,0,1,1
388,170,31,36,1,1,0,2
389,81,57,48,1,0,1,2
390,137,55,9,0,0,1,1
391,253,66,17,0,1,1,2
392,25,51,61,1,0,1,2
393,174,95,11,1,1,1,3
394,296,61,20,1,1,0,2
395,153,85,31,0,1,1,2
396,295,29,88,0,0,0,0
397,209,13,41,0,0,1,1
398,105,69,47,1,1,0,2
399,242,7,43,0,0,1,1
400,207,40,3,0,0,0,0
401,162,47,15,1,1,1,3
402,116,74,83,0,1,0,1
403,133,46,0,0,0,1,1
404,97,54,10,0,0,0,0
405,240,30,92,0,0,1,1
406,177,78,21,0,0,0,0
407,242,66,85,0,1,0,1
408,91,22,88,0,0,1,1
409,20,1,24,1,0,0,1
410,24,100,94,0,1,0,1
411,170,6,51,0,0,1,1
412,281,5,81,1,1,1,3
413,17,38,62,0,1,0,1
414,171,36,37,1,1,1,3
415,113,97,74,1,0,0,1
416,123,20,25,1,0,0,1
417,61,66,41,1,0,0,1
418,218,83,12,0,1,0,1
419,149,59,83,0,1,1,2
420,230,93,63,0,0,0,0
421,128,54,0,0,0,0,0
422,279,7,5,1,0,1,2
423,103,94,4,1,1,0,2
424,270,28,55,0,1,0,1
425,247,66,72,0,0,1,1
426,280,7,73,0,0,1,1
427,211,58,51,0,1,1,2
428,170,36,17,0,0,1,1
429,22,50,21,1,1,1,3
430,33,61,76,0,1,1,2
431,66,38,63,0,1,0,1
432,83,31,10,1,0,1,2
433,48,23,31,0,1,0,1
434,3,59,18,0,1,1,2
435,221,24,95,1,0,1,2
436,91,6,5,1,0,1,2
437,85,24,30,1,1,1,3
438,80,10,89,0,1,0,1
439,19,63,4,1,1,0,2
440,253,57,10,1,1,1,3
441,208,30,15,1,0,0,1
442,34,82,74,0,1,1,2
443,142,32,68,1,0,0,1
444,78,2,16,1,0,0,1
445,23,19,0,1,1,1,3
446,21,3,37,1,0,1,2
447,30,97,72,1,1,0,2
448,250,71,57,1,0,0,1
449,44,34,28,1,1,0,2
450,208,96,66,1,0,0,1
451,68,74,47,1,0,0,1
452,130,67,60,1,0,1,2
453,284,89,86,1,1,0,2
454,104,1,87,0,0,1,1
455,2,92,38,0,1,1,2
456,99,36,57,0,1,0,1
457,180,23,76,0,0,1,1
458,113,52,7,1,1,1,3
459,5,44,29,1,0,0,1
460,165,64,97,0,1,1,2
461,233,4,70,0,0,0,0
462,224,5,7,1,1,0,2
463,45,27,41,0,1,1,2
464,142,38,24,1,0,0,1
465,143,31,16,1,0,0,1
466,164,54,3,1,0,0,1
467,91,74,33,1,0,1,2
468,113,30,2,0,0,1,1
469,142,71,90,1,1,1,3
470,1,26,77,0,0,0,0
471,27,66,22,0,0,1,1
472,223,86,85,1,0,0,1
473,5,84,3,0,1,0,1
474,28,73,46,0,0,0,0
475,278,12,9,0,1,0,1
476,33,24,28,0,1,0,1
477,90,85,19,1,0,0,1
478,213,36,58,1,0,1,2
479,147,46,4,1,1,1,3
480,281,33,57,0,0,1,1
481,126,28,48,0,1,1,2
482,180,27,88,0,0,1,1
483,96,64,87,0,1,1,2
484,12,71,27,0,1,0,1
485,190,14,55,0,0,1,1
486,51,63,32,0,1,1,2
487,23,85,10,0,0,1,1
488,115,22,38,0,1,1,2
489,198,34,58,1,0,1,2
490,13,80,90,0,0,1,1
491,4,40,44,0,0,1,1
492,48,34,99,0,1,1,2
493,160,69,82,1,1,0,2
494,187,82,53,1,0,0,1
495,140,9,17,1,0,1,2
496,279,90,34,1,0,0,1
497,5,57,0,0,1,0,1
498,190,73,84,1,1,0,2
499,20,38,87,1,0,1,2
500,296,77,45,0,1,0,1
501,226,18,17,0,0,0,0
502,60,68,19,1,1,1,3
503,225,80,0,1,0,0,1
504,160,94,35,1,0,0,1
505,126,66,78,1,0,1,2
506,111,13,42,0,1,1,2
507,36,62,73,1,1,1,3
508,286,31,34,1,0,0,1
509,22,55,9,0,1,0,1
510,164,46,73,0,1,1,2
511,110,96,86,1,1,1,3
512,267,25,19,0,0,1,1
513,82,39,77,1,1,0,2
514,299,22,23,0,0,0,0
515,234,99,93,0,1,1,2
516,287,17,60,1,1,1,3
517,108,31,78,1,0,1,2
518,180,47,16,1,0,1,2
519,93,32,41,1,1,1,3
520,126,6,82,1,0,1,2
521,250,26,30,1,1,1,3
522,130,8,80,1,1,0,2
523,242,86,36,0,1,1,2
524,35,78,0,0,1,0,1
525,278,67,79,0,0,1,1
526,265,97,12,0,1,1,2
527,234,59,82,0,1,1,2
528,230,28,2,1,1,0,2
529,131,42,94,0,0,0,0
530,66,83,35,0,1,1,2
531,241,72,100,1,0,0,1
532,204,86,28,1,0,0,1
533,260,33,26,0,0,0,0
534,137,36,85,1,1,0,2
535,189,73,51,1,0,0,1
536,9,68,19,0,1,1,2
537,244,17,90,0,1,0,1
538,79,91,21,1,0,1,2
539,173,3,31,1,0,1,2
540,81,72,54,0,1,0,1
541,249,51,75,0,1,0,1
542,11,35,81,1,0,0,1
543,31,83,1,0,0,1,1
544,168,96,62,1,0,0,1
545,276,79,17,0,1,0,1
546,278,5,23,1,1,0,2
547,51,17,52,1,1,0,2
548,236,99,80,0,0,0,0
549,208,77,25,1,0,1,2
550,259,45,67,0,1,0,1
551,110,78,86,0,1,0,1
552,219,24,14,0,0,1,1
553,53,56,39,0,1,1,2
554,294,51,89,1,1,0,2
555,270,90,56,1,1,0,2
556,109,27,98,0,0,1,1
557,129,54,90,1,1,0,2
558,21,19,55,0,0,0,0
559,88,62,76,1,0,1,2
560,95,99,4,0,0,0,0
561,181,74,77,1,1,1,3
562,195,47,45,0,0,0,0
563,80,97,17,0,0,0,0
564,115,4,76,1,1,0,2
565,90,63,17,0,0,0,0
566,235,45,22,0,0,0,0
567,134,47,0,1,0,1,2
568,178,8,79,0,1,0,1
569,248,84,82,0,0,0,0
570,120,23,0,0,0,1,1
571,242,73,27,0,1,0,1
572,82,54,62,1,0,0,1
573,14,13,0,0,1,1,2
574,206,10,63,0,0,0,0
575,236,56,64,1,1,1,3
576,244,23,48,0,1,0,1
577,148,68,93,0,0,1,1
578,241,14,7,0,0,1,1
579,8,24,68,1,1,0,2
580,140,25,3,0,0,1,1
581,134,10,16,0,1,1,2
582,43,64,85,1,1,0,2
583,80,8,1,1,0,1,2
584,211,24,17,1,0,0,1
585,233,45,65,0,1,0,1
586,171,73,96,1,0,0,1
587,249,10,77,1,1,1,3
588,179,36,62,0,1,1,2
589,279,12,16,1,0,0,1
590,255,30,38,0,0,1,1
591,1,4,96,1,1,0,2
592,13,59,23,1,0,0,1
593,263,91,21,1,1,1,3
594,5,48,9,0,0,0,0
595,276,42,93,1,1,0,2
596,75,42,99,1,1,0,2
597,18,93,73,0,0,0,0
598,275,65,59,0,0,1,1
599,131,74,63,0,0,0,0
600,180,2,0,1,0,0,1
601,260,9,5,0,1,0,1
602,6,8,42,1,0,0,1
603,231,16,7,1,0,0,1
604,22,86,97,0,0,1,1
605,267,74,61,1,0,0,1
606,209,75,7,0,1,1,2
607,209,90,88,0,1,0,1
608,127,1,13,0,0,0,0
609,215,12,74,1,1,1,3
610,8,42,4,0,0,0,0
611,8,14,81,0,0,1,1
612,111,69,15,1,0,1,2
613,222,64,82,1,0,1,2
614,250,50,53,0,1,0,1
615,28,49,74,1,1,0,2
616,98,51,78,1,1,1,3
617,176,91,23,0,0,1,1
618,244,98,22,0,1,1,2
619,179,23,57,1,1,0,2
620,54,6,38,0,1,0,1
621,84,72,65,0,0,1,1
622,155,71,23,1,0,0,1
623,273,94,91,1,1,1,3
624,7,53,68,0,0,0,0
625,248,80,47,1,0,0,1
626,260,100,25,1,0,0,1
627,8,54,8,0,0,0,0
628,244,10,55,1,0,1,2
629,36,62,61,1,1,0,2
630,242,97,74,0,1,1,2
631,22,57,87,0,0,0,0
632,170,56,22,0,0,0,0
633,121,82,90,1,0,1,2
634,293,78,52,1,0,0,1
635,203,74,46,0,1,1,2
636,237,23,5,0,0,0,0
637,169,27,36,1,1,0,2
638,126,12,57,1,1,0,2
639,293,12,75,0,1,0,1
640,33,70,7,1,1,0,2
641,9,6,7,1,1,1,3
642,208,22,92,1,1,1,3
643,20,82,0,1,1,1,3
644,101,64,88,1,1,1,3
645,228,68,85,1,0,1,2
646,54,13,90,1,1,1,3
647,96,70,92,0,1,0,1
648,48,91,55,1,0,1,2
649,74,32,63,0,0,1,1
650,294,9,18,1,1,1,3
651,133,45,73,0,1,1,2
652,10,80,96,0,1,0,1
653,254,94,92,0,1,0,1
654,58,11,61,1,0,1,2
655,233,23,89,1,0,0,1
656,221,65,39,0,0,1,1
657,69,74,85,1,1,0,2
658,104,41,0,0,1,0,1
659,67,89,6,0,1,1,2
660,189,17,37,0,0,0,0
661,84,85,57,0,0,0,0
662,249,72,37,1,1,1,3
663,288,85,34,1,1,0,2
664,80,25,17,0,1,1,2
665,186,29,59,0,1,0,1
666,266,74,52,1,0,0,1
667,246,84,51,0,0,1,1
668,262,1,12,0,1,0,1
669,119,51,44,0,0,1,1
670,267,47,98,0,1,1,2
671,61,59,27,0,0,1,1
672,193,94,67,0,0,1,1
673,121,75,80,1,0,1,2
674,206,44,7,0,0,0,0
675,214,15,36,0,1,1,2
676,157,67,69,0,0,0,0
677,10,46,53,1,1,0,2
678,37,15,1,0,1,0,1
679,194,41,87,1,1,1,3
680,45,34,41,1,1,0,2
681,168,59,36,1,1,0,2
682,1,88,98,0,1,1,2
683,105,70,36,1,1,1,3
684,250,61,74,1,1,1,3
685,78,47,68,1,0,0,1
686,274,26,96,1,0,1,2
687,232,42,99,1,0,1,2
688,276,72,14,0,1,0,1
689,252,100,95,1,1,0,2
690,120,47,51,0,1,0,1
691,278,38,41,1,0,0,1
692,24,51,20,0,0,1,1
693,133,21,61,0,0,1,1
694,182,38,83,0,1,0,1
695,221,32,96,0,0,0,0
696,264,100,3,1,1,1,3
697,50,9,88,0,1,1,2
698,95,65,58,1,0,1,2
699,97,30,58,1,0,1,2
700,241,19,92,1,1,0,2
701,145,98,72,1,1,1,3
702,204,66,82,1,0,0,1
703,158,99,47,0,0,1,1
704,55,42,63,0,0,0,0
705,58,37,76,1,1,1,3
706,238,24,16,0,0,0,0
707,261,39,26,0,1,0,1
708,293,95,88,1,1,0,2
709,92,95,43,0,1,1,2
710,2,16,96,0,0,0,0
711,255,63,54,0,1,0,1
712,101,78,85,0,1,0,1
713,223,43,7,0,1,1,2
714,16,91,53,1,1,1,3
715,18,67,30,1,1,1,3
716,163,48,27,1,1,1,3
717,54,15,29,0,1,1,2
718,185,24,71,1,0,1,2
719,36,70,68,0,0,1,1
720,127,9,77,0,1,0,1
721,172,89,60,0,1,0,1
722,50,84,18,1,1,0,2
723,126,95,79,1,1,1,3
724,183,5,57,1,0,1,2
725,129,38,82,1,0,0,1
726,269,3,53,0,0,1,1
727,93,59,30,0,0,0,0
728,161,100,66,0,1,1,2
729,297,41,55,0,0,1,1
730,197,94,41,1,0,1,2
731,166,78,34,1,1,1,3
732,93,24,78,0,1,0,1
733,188,67,19,1,1,1,3
734,112,75,10,0,0,0,0
735,4,16,62,0,0,1,1
736,214,85,0,0,1,0,1
737,80,55,56,1,1,1,3
738,119,23,57,1,1,1,3
739,18,13,40,0,1,0,1
740,34,78,38,0,0,0,0
741,183,20,3,0,0,1,1
742,99,19,41,1,0,0,1
743,297,38,42,0,0,1,1
744,280,99,100,1,1,0,2
745,186,90,44,0,0,1,1
746,281,92,32,1,0,0,1
747,251,41,50,1,1,1,3
748,96,16,45,1,1,1,3
749,3,19,35,0,0,1,1
750,9,67,66,1,0,1,2
751,54,63,21,0,0,0,0
752,75,52,42,1,0,1,2
753,108,99,73,1,0,0,1
754,245,84,23,1,1,1,3
755,201,12,93,1,1,1,3
756,192,45,90,1,1,0,2
757,42,20,87,1,1,1,3
758,34,45,74,0,1,0,1
759,119,34,78,1,0,0,1
760,244,52,88,0,1,0,1
761,19,42,1,0,1,0,1
762,147,4,89,0,0,1,1
763,281,55,69,1,0,0,1
764,44,30,49,1,0,1,2
765,267,7,68,0,1,0,1
766,71,16,19,1,1,0,2
767,83,65,52,0,1,1,2
768,1,1,94,0,1,1,2
769,72,79,38,0,0,0,0
770,221,11,36,1,1,1,3
771,38,94,49,1,0,1,2
772,141,22,28,1,0,1,2
773,93,20,4,1,1,0,2
774,205,51,25,1,0,0,1
775,228,56,36,0,0,1,1
776,31,92,88,0,0,1,1
777,141,79,36,1,0,1,2
778,14,14,57,0,1,1,2
779,184,5,25,1,1,0,2
780,115,61,39,1,0,1,2
781,142,7,39,0,1,1,2
782,67,86,22,0,0,0,0
783,170,97,85,0,1,0,1
784,68,20,30,0,1,0,1
785,160,70,64,0,0,0,0
786,160,61,100,0,1,0,1
787,263,15,38,0,1,0,1
788,271,64,9,0,1,0,1
789,127,16,68,0,1,1,2
790,115,15,26,1,1,0,2
791,105,64,45,1,0,1,2
792,267,43,87,0,0,1,1
793,288,71,40,1,1,0,2
794,289,8,17,1,1,1,3
795,263,51,53,1,0,1,2
796,164,19,62,1,0,1,2
797,294,61,63,0,0,1,1
798,102,83,3,1,1,1,3
799,87,64,8,1,0,1,2
800,104,32,54,1,0,1,2
801,223,63,10,1,0,1,2
802,22,4,74,1,1,0,2
803,279,100,77,1,0,1,2
804,215,17,17,1,1,0,2
805,39,51,32,0,1,1,2
806,66,39,28,1,0,1,2
807,6,53,54,1,1,0,2
808,176,9,26,1,0,0,1
809,118,22,56,1,0,0,1
810,128,16,80,1,0,0,1
811,33,50,47,1,0,1,2
812,192,23,42,1,0,0,1
813,260,5,71,0,0,0,0
814,283,25,88,1,1,0,2
815,284,19,42,0,0,1,1
816,155,65,98,1,0,1,2
817,79,1,80,1,1,1,3
818,30,90,62,0,1,0,1
819,224,31,92,1,1,0,2
820,65,29,29,0,1,1,2
821,261,56,42,0,0,1,1
822,245,70,72,1,0,0,1
823,210,80,22,1,0,1,2
824,287,69,46,0,0,0,0
825,113,78,60,0,0,1,1
826,261,16,57,1,0,0,1
827,213,41,34,0,0,0,0
828,15,21,90,0,0,1,1
829,106,69,83,0,0,1,1
830,276,32,68,1,1,1,3
831,23,85,33,1,1,1,3
832,167,43,87,0,0,1,1
833,268,63,85,0,0,0,0
834,121,11,10,0,0,1,1
835,24,47,76,1,1,1,3
836,226,7,55,1,0,1,2
837,167,13,44,1,1,1,3
838,209,100,97,1,1,1,3
839,253,98,81,0,1,0,1
840,289,64,19,0,0,1,1
841,225,35,14,1,1,0,2
842,87,77,59,0,0,0,0
843,283,23,76,0,1,1,2
844,187,64,78,0,0,0,0
845,233,5,58,0,1,1,2
846,279,92,48,0,1,1,2
847,43,2,7,0,1,0,1
848,286,85,34,1,1,0,2
849,296,17,41,1,1,1,3
850,229,12,13,0,1,1,2
851,105,14,0,1,0,1,2
852,256,38,21,0,1,0,1
853,277,44,3,0,0,1,1
854,219,51,88,0,0,1,1
855,83,3,22,0,1,1,2
856,221,65,46,1,0,1,2
857,262,85,85,0,1,0,1
858,133,81,75,1,1,1,3
859,52,40,73,1,0,0,1
860,214,73,61,1,0,0,1
861,48,66,11,0,1,1,2
862,288,39,92,1,1,0,2
863,102,2,57,1,0,0,1
864,246,13,63,1,1,0,2
865,226,90,99,1,0,0,1
866,45,9,13,1,1,1,3
867,238,7,95,0,0,1,1
868,36,58,24,1,0,1,2
